gene_id,SRR1048058,SRR1048059,SRR1048060,SRR1048061,SRR1048062,SRR1048063
ENSDARG00000099044,0,0,0,0,0,0
ENSDARG00000099046,0,0,0,42,16,8
ENSDARG00000099047,0,0,0,0,0,0
ENSDARG00000080305,0,0,0,0,0,0
ENSDARG00000091719,0,0,0,0,0,0
MSTRG.23341,0,0,12,0,0,12
MSTRG.34354,0,324,590,555,559,659
ENSDARG00000093719,0,0,0,0,0,0
ENSDARG00000093714,0,0,0,0,0,0
ENSDARG00000093710,0,0,0,0,0,0
MSTRG.35439,11,61,150,47,79,159
MSTRG.35438,0,37,23,3,22,27
MSTRG.32429,0,4,0,0,32,2
MSTRG.32428,0,2,0,11,0,6
MSTRG.32423,0,0,2,0,13,0
MSTRG.35430,0,14,0,26,31,43
MSTRG.35433,0,0,0,17,0,0
MSTRG.35432,0,1,1,1,0,2
ENSDARG00000109154,0,0,0,0,0,0
MSTRG.35434,0,0,0,0,0,9
MSTRG.32425,1,5,16,10,23,11
MSTRG.35436,3,13,15,3,9,10
MSTRG.12877,0,29,78,24,0,17
MSTRG.20261,88,664,836,644,561,872
MSTRG.208,0,19,25,48,25,46
MSTRG.209,0,167,74,166,160,211
MSTRG.204,0,0,0,15,0,0
MSTRG.205,8,77,237,153,171,232
MSTRG.206,0,0,0,14,0,3
MSTRG.207,0,25,0,31,58,45
MSTRG.200,0,0,7,11,0,1
MSTRG.201,0,0,0,30,7,6
MSTRG.202,0,6,0,15,0,13
MSTRG.203,0,1,14,0,0,0
MSTRG.9992,0,0,0,0,19,2
MSTRG.9993,60,547,656,598,768,861
MSTRG.9990,0,90,69,161,126,146
MSTRG.9991,0,29,10,30,17,23
MSTRG.9996,94,864,1060,1254,1185,1452
MSTRG.9997,349,1918,3502,2987,2523,3518
MSTRG.9994,28,376,551,521,334,481
MSTRG.9995,0,0,20,0,0,0
MSTRG.12875,2,0,20,2,11,3
MSTRG.9999,0,1,0,4,15,0
ENSDARG00000096299,0,0,0,0,0,0
ENSDARG00000093195,0,0,0,0,0,0
MSTRG.34350,7,0,22,34,14,4
MSTRG.553,57,332,321,282,306,453
MSTRG.557,6,111,138,115,69,123
MSTRG.34748,18,200,186,192,188,234
MSTRG.34749,0,0,37,0,0,7
MSTRG.23424,0,0,24,0,0,0
MSTRG.34740,3,168,227,241,178,233
MSTRG.34741,0,2,12,2,0,2
MSTRG.34742,0,0,3,0,0,0
MSTRG.34743,0,27,0,0,0,0
MSTRG.34744,0,0,0,0,22,0
MSTRG.34745,0,0,7,4,16,20
MSTRG.34746,0,1,0,0,0,0
MSTRG.34747,306,2704,3216,3364,3824,5791
MSTRG.43175,0,31,32,0,6,4
ENSDARG00000055554,0,11,0,0,0,0
MSTRG.23426,0,0,8,0,0,0
ENSDARG00000055551,0,0,10,0,0,4
MSTRG.13061,4,33,88,31,18,36
MSTRG.19844,0,0,11,3,0,2
ENSDARG00000057096,0,0,0,0,0,0
MSTRG.43176,0,20,34,15,0,19
MSTRG.26938,2,76,122,150,116,61
ENSDARG00000096871,0,0,0,0,0,0
MSTRG.26934,0,0,0,6,0,0
MSTRG.43171,0,25,83,79,73,125
MSTRG.26936,0,72,90,63,19,50
MSTRG.26937,21,71,59,95,112,137
MSTRG.26930,8,129,89,214,132,273
MSTRG.26931,0,136,233,202,146,291
MSTRG.26932,0,9,19,0,0,1
MSTRG.26933,0,33,140,134,29,91
MSTRG.28588,4,48,50,55,59,114
MSTRG.43173,0,6,4,16,11,7
ENSDARG00000106394,0,0,0,0,0,0
MSTRG.35938,3,14,28,3,33,35
MSTRG.19841,0,2,33,0,6,8
ENSDARG00000053246,0,0,0,0,0,0
MSTRG.35939,24,98,47,21,116,173
MSTRG.17318,0,0,0,4,2,13
MSTRG.8739,0,16,38,25,108,46
MSTRG.32264,4,67,60,88,86,72
MSTRG.36427,3,59,183,234,85,125
MSTRG.6900,3,141,235,175,79,215
MSTRG.36425,6,86,88,149,88,123
MSTRG.36424,21,13,29,49,2,28
MSTRG.36423,75,332,627,673,679,707
MSTRG.36422,3,21,14,20,30,18
MSTRG.36421,11,63,98,106,126,202
MSTRG.6901,6,197,450,293,162,291
MSTRG.6902,0,0,11,0,0,1
MSTRG.36429,12,205,584,595,375,549
MSTRG.36428,31,182,919,603,524,585
MSTRG.30119,0,48,32,16,30,59
MSTRG.30118,12,101,208,149,238,192
MSTRG.28580,0,0,0,0,0,0
MSTRG.30111,3,177,121,87,131,169
MSTRG.30110,0,20,57,40,7,20
MSTRG.30113,0,43,190,62,68,203
MSTRG.30112,32,378,425,515,431,554
MSTRG.30115,0,25,58,105,97,71
MSTRG.30114,110,268,416,515,456,664
MSTRG.30117,2,0,0,36,41,16
MSTRG.35931,0,24,14,12,40,30
ENSDARG00000044956,0,7,0,4,0,3
MSTRG.45218,0,24,82,0,6,4
MSTRG.6907,0,64,58,0,33,49
ENSDARG00000061791,0,8,54,15,3,3
MSTRG.20698,0,38,49,43,41,53
ENSDARG00000095001,0,0,0,0,0,0
MSTRG.20693,0,0,0,0,0,3
MSTRG.20692,27,145,223,242,167,359
MSTRG.20691,12,121,226,277,217,274
MSTRG.20690,0,8,0,1,3,1
MSTRG.20697,0,0,2,21,0,5
MSTRG.20696,3,22,8,12,6,28
MSTRG.20695,0,10,42,1,22,18
MSTRG.20694,0,20,61,23,71,58
ENSDARG00000098036,0,24,11,17,19,43
MSTRG.38518,0,1,0,8,14,0
MSTRG.37301,86,812,919,1208,1043,1253
ENSDARG00000107443,0,0,0,0,0,0
ENSDARG00000107445,0,0,0,0,0,0
ENSDARG00000107446,0,0,0,0,0,0
MSTRG.37300,0,12,3,0,0,13
ENSDARG00000107448,0,0,0,0,0,0
ENSDARG00000086633,0,0,0,0,0,0
ENSDARG00000054734,0,0,0,0,0,0
MSTRG.28091,0,29,0,0,2,2
MSTRG.37200,0,0,10,27,0,2
MSTRG.28093,0,117,681,29,224,378
MSTRG.28092,0,10,62,32,44,23
MSTRG.28095,0,7,6,23,2,10
MSTRG.28094,0,0,43,3,3,3
